municipio,homicidio,furtos_veiculo,furtos,roubos,latrocionio,roubo_veiculo,extorsao,extorsao_sequesto,estelionato,delitos_corrupcao,posse_entorpecente,delitos_municoes,trafico_entorpecente,ano
"PINHEIRINHO DO VALE",1,1,27,3,0,0,0,0,0,0,0,0,0,2008
"PINHEIRO MACHADO",0,3,326,13,0,0,1,0,6,0,4,11,6,2008
PIRAPO,1,0,60,3,0,0,0,0,0,0,0,11,0,2008
PIRATINI,1,6,292,16,0,1,1,0,11,0,2,16,2,2008
PLANALTO,1,1,163,13,0,0,0,0,6,1,2,10,3,2008
"POCO DAS ANTAS",0,0,11,1,0,0,0,0,2,0,0,0,0,2008
PONTAO,0,0,66,5,0,2,1,0,4,0,0,3,0,2008
"PONTE PRETA",0,1,14,1,0,0,0,0,1,0,0,2,0,2008
PORTAO,7,23,456,143,0,50,3,0,28,2,31,7,20,2008
"PORTO ALEGRE",418,5660,44690,23739,25,6863,139,1,5102,44,2450,908,1592,2008
"PORTO LUCENA",0,2,32,4,0,0,0,0,3,0,1,2,1,2008
"PORTO MAUA",0,0,17,1,0,0,0,0,0,0,0,4,1,2008
"PORTO VERA CRUZ",1,0,15,1,0,0,0,0,0,1,0,1,0,2008
"PORTO XAVIER",0,1,132,6,0,2,1,0,5,0,4,14,1,2008
"POUSO NOVO",1,1,35,1,0,1,0,0,0,0,0,1,0,2008
"PRESIDENTE LUCENA",0,1,18,3,0,0,0,0,0,0,2,0,0,2008
PROGRESSO,0,2,37,3,0,0,0,0,1,0,1,6,1,2008
"PROTASIO ALVES",0,0,10,0,0,0,0,0,1,0,0,1,0,2008
PUTINGA,0,2,36,0,0,0,0,0,0,0,2,5,0,2008
QUARAI,3,15,469,21,0,1,1,0,28,0,21,20,3,2008
"QUATRO IRMAOS",0,0,21,1,0,0,0,0,1,0,0,1,0,2008
QUEVEDOS,0,1,25,1,0,0,0,0,0,0,0,1,0,2008
"QUINZE DE NOVEMBRO",0,0,33,0,0,0,1,0,6,0,0,1,0,2008
REDENTORA,1,0,67,9,0,0,0,0,4,1,0,6,0,2008
RELVADO,0,0,24,0,0,0,0,0,5,0,0,1,0,2008
"RESTINGA SECA",0,2,281,13,0,0,0,0,14,0,1,6,1,2008
"RIO DOS INDIOS",3,0,27,2,0,0,0,0,0,0,0,6,0,2008
"RIO GRANDE",21,235,4818,1854,4,66,40,0,248,7,98,94,170,2008
"RIO PARDO",3,13,861,64,0,2,2,0,54,1,12,13,3,2008
RIOZINHO,0,0,34,4,0,1,0,0,10,0,3,0,0,2008
"ROCA SALES",0,2,173,6,0,1,0,0,2,0,5,4,5,2008
"RODEIO BONITO",0,1,45,8,0,0,0,0,2,1,0,3,1,2008
ROLADOR,0,2,12,0,0,0,0,0,0,0,0,2,0,2008
ROLANTE,5,3,188,55,1,1,0,0,17,0,3,10,5,2008
"RONDA ALTA",1,3,89,16,0,2,0,0,11,0,2,7,0,2008
RONDINHA,0,3,40,1,0,0,0,0,2,0,0,1,0,2008
"ROQUE GONZALES",1,1,75,2,0,0,0,0,6,1,2,12,1,2008
"ROSARIO DO SUL",5,16,1060,89,1,3,4,0,64,0,30,53,12,2008
"SAGRADA FAMILIA",0,0,5,0,0,0,0,0,0,0,1,2,0,2008
"SALDANHA MARINHO",0,2,37,0,0,0,0,0,7,0,0,1,1,2008
"SALTO DO JACUI",3,14,276,9,0,0,1,0,14,0,6,8,3,2008
"SALVADOR DAS MISSOES",1,0,20,0,0,0,0,0,0,0,0,1,0,2008
"SALVADOR DO SUL",0,1,45,2,1,0,0,0,1,0,0,2,0,2008
SANANDUVA,0,3,127,6,0,1,0,0,21,0,3,6,5,2008
"SANTA BARBARA DO SUL",0,4,85,4,0,0,0,0,14,0,0,5,0,2008
"SANTA CECILIA DO SUL",0,0,16,0,0,0,0,0,1,0,0,1,0,2008
"SANTA CLARA DO SUL",0,0,46,3,0,0,0,0,6,0,0,2,0,2008
"SANTA CRUZ DO SUL",16,368,2253,427,0,68,2,0,128,3,93,58,38,2008
"SANTA MARGARIDA DO SUL",0,0,40,3,0,0,0,0,0,0,0,2,0,2008
"SANTA MARIA",15,330,5938,1233,1,42,14,0,439,1,191,132,74,2008
"SANTA MARIA DO HERVAL",0,0,20,1,0,0,0,0,0,0,1,0,0,2008
"SANTA ROSA",5,32,1112,72,0,7,1,0,94,1,65,34,32,2008
"SANTA TEREZA",0,1,14,2,0,0,0,0,0,0,0,0,0,2008
"SANTA VITORIA DO PALMAR",2,26,709,53,0,3,1,0,22,0,13,11,0,2008
"SANTANA DA BOA VISTA",1,2,94,2,0,1,0,0,0,0,0,9,0,2008
"SANTANA DO LIVRAMENTO",17,167,1558,121,1,7,4,0,68,3,34,70,9,2008
SANTIAGO,4,19,740,68,0,3,4,0,86,0,29,54,23,2008
"SANTO ANGELO",9,61,1715,231,0,8,10,0,184,2,19,64,14,2008
"SANTO ANTONIO DA PATRULHA",0,19,584,45,0,3,2,0,17,0,7,8,10,2008
"SANTO ANTONIO DAS MISSOES",4,0,165,10,1,1,0,0,12,1,0,13,2,2008
"SANTO ANTONIO DO PALMA",0,1,18,0,0,0,1,0,2,1,1,2,0,2008
