municipio,homicidio,furtos_veiculo,furtos,roubos,latrocionio,roubo_veiculo,extorsao,extorsao_sequesto,estelionato,delitos_corrupcao,posse_entorpecente,delitos_municoes,trafico_entorpecente,ano
"PEDRAS ALTAS",1,1,43,3,0,0,0,0,0,0,0,0,0,2003
"PEDRO OSORIO",0,0,219,9,0,0,0,0,4,0,3,0,1,2003
PEJUCARA,1,2,49,0,0,0,0,0,4,1,0,0,0,2003
PELOTAS,19,395,7464,2141,1,74,7,0,455,3,145,0,25,2003
"PICADA CAFE",3,1,34,3,0,0,0,0,2,0,0,0,0,2003
PINHAL,0,4,24,5,0,0,1,0,5,0,0,0,0,2003
"PINHAL DA SERRA",0,0,35,4,0,0,0,0,5,0,0,0,1,2003
"PINHAL GRANDE",1,0,45,1,0,0,0,0,1,0,0,0,0,2003
"PINHEIRINHO DO VALE",0,0,28,3,0,0,0,0,1,0,1,0,0,2003
"PINHEIRO MACHADO",1,0,230,6,0,0,0,0,9,0,3,0,3,2003
PIRAPO,0,0,49,1,0,0,0,0,1,2,0,0,0,2003
PIRATINI,1,3,287,6,0,0,0,0,10,0,8,0,1,2003
PLANALTO,2,8,181,11,0,0,1,0,16,0,1,0,1,2003
"POCO DAS ANTAS",1,0,5,1,0,0,0,0,0,0,0,0,0,2003
PONTAO,0,3,48,3,0,0,0,0,0,0,0,0,0,2003
"PONTE PRETA",0,0,3,0,0,0,0,0,2,0,0,0,0,2003
PORTAO,6,18,577,123,1,23,0,0,13,0,9,0,2,2003
"PORTO ALEGRE",311,7928,61239,22922,21,3860,95,7,4449,38,2288,5,551,2003
"PORTO LUCENA",1,3,75,0,0,0,0,0,11,0,2,0,0,2003
"PORTO MAUA",0,0,13,3,0,1,0,0,0,0,0,0,0,2003
"PORTO VERA CRUZ",0,2,24,1,0,0,0,0,1,0,0,0,0,2003
"PORTO XAVIER",3,3,213,7,0,0,0,0,10,0,2,0,3,2003
"POUSO NOVO",0,0,38,2,0,1,0,0,3,0,0,0,0,2003
"PRESIDENTE LUCENA",0,0,15,5,0,0,0,0,1,0,0,0,0,2003
PROGRESSO,2,0,78,1,1,0,0,0,1,0,0,0,0,2003
"PROTASIO ALVES",0,1,18,0,0,0,0,0,1,0,0,0,0,2003
PUTINGA,2,1,60,0,0,0,0,0,0,0,0,0,0,2003
QUARAI,3,28,851,36,0,1,1,0,56,0,11,0,8,2003
"QUATRO IRMAOS",0,0,11,1,0,0,0,0,0,0,0,0,0,2003
QUEVEDOS,0,1,21,0,0,0,0,0,0,0,0,0,0,2003
"QUINZE DE NOVEMBRO",0,0,37,1,0,0,0,0,12,0,0,0,0,2003
REDENTORA,1,1,78,4,0,0,0,0,2,0,1,0,1,2003
RELVADO,0,0,5,0,0,0,0,0,1,0,0,0,0,2003
"RESTINGA SECA",2,4,292,10,0,0,1,0,26,0,3,0,1,2003
"RIO DOS INDIOS",2,0,22,1,0,0,0,0,0,0,0,0,0,2003
"RIO GRANDE",12,322,5156,1236,1,40,4,1,179,2,100,0,61,2003
"RIO PARDO",0,20,658,60,0,2,0,0,25,0,7,0,4,2003
RIOZINHO,0,2,59,6,0,0,0,0,1,0,0,0,0,2003
"ROCA SALES",0,3,145,3,0,1,0,0,6,0,2,0,0,2003
"RODEIO BONITO",1,0,66,2,0,0,0,0,5,0,0,0,0,2003
ROLADOR,0,0,6,0,0,0,0,0,2,0,0,0,0,2003
ROLANTE,2,16,199,29,0,2,0,0,4,0,2,0,0,2003
"RONDA ALTA",0,3,115,13,0,3,0,0,7,0,3,0,1,2003
RONDINHA,0,5,49,2,0,0,0,0,5,2,0,0,0,2003
"ROQUE GONZALES",2,2,68,3,0,0,0,0,4,0,3,0,0,2003
"ROSARIO DO SUL",8,20,1249,76,0,2,1,0,41,0,17,0,2,2003
"SAGRADA FAMILIA",0,0,16,2,0,0,0,0,0,0,0,0,0,2003
"SALDANHA MARINHO",0,0,49,2,0,1,0,0,1,0,0,0,1,2003
"SALTO DO JACUI",3,1,182,6,0,0,0,0,10,0,2,0,5,2003
"SALVADOR DAS MISSOES",0,3,14,0,0,0,1,0,0,0,0,0,0,2003
"SALVADOR DO SUL",0,0,47,6,0,0,0,0,9,0,1,0,0,2003
SANANDUVA,1,5,127,3,0,0,0,0,19,0,1,0,2,2003
"SANTA BARBARA DO SUL",1,2,142,7,0,0,0,0,9,1,3,0,0,2003
"SANTA CECILIA DO SUL",0,1,18,0,0,0,0,0,0,0,0,0,0,2003
"SANTA CLARA DO SUL",0,4,26,3,0,0,0,0,0,0,0,0,0,2003
"SANTA CRUZ DO SUL",16,303,2554,487,1,16,6,0,150,3,98,0,12,2003
"SANTA MARGARIDA DO SUL",0,0,8,0,0,0,0,0,2,0,0,0,0,2003
"SANTA MARIA",18,228,6568,1131,1,20,5,0,453,3,277,2,51,2003
"SANTA MARIA DO HERVAL",0,2,29,2,0,0,0,0,0,0,1,0,0,2003
"SANTA ROSA",7,45,1177,80,2,8,0,0,104,1,33,0,7,2003
"SANTA TEREZA",0,0,18,0,0,0,0,0,1,0,0,0,0,2003
"SANTA VITORIA DO PALMAR",2,29,1000,94,0,0,0,0,20,1,9,0,1,2003
"SANTANA DA BOA VISTA",0,0,54,0,0,0,0,0,0,1,0,0,0,2003
"SANTANA DO LIVRAMENTO",5,336,2244,195,1,5,0,0,103,1,21,1,2,2003
SANTIAGO,4,27,897,82,0,0,0,0,82,0,14,0,8,2003
"SANTO ANGELO",10,76,2733,361,0,16,3,0,160,4,47,0,5,2003
"SANTO ANTONIO DA PATRULHA",0,19,595,47,0,7,0,0,21,1,10,0,5,2003
"SANTO ANTONIO DAS MISSOES",1,6,312,25,0,0,0,0,12,0,6,0,2,2003
"SANTO ANTONIO DO PALMA",0,1,7,0,0,0,0,0,0,0,0,0,0,2003
"SANTO ANTONIO DO PLANALTO",0,0,11,2,0,0,0,0,0,0,0,0,0,2003
"SANTO AUGUSTO",0,9,213,8,0,1,1,0,33,0,2,0,1,2003
"SANTO CRISTO",1,5,76,4,0,0,1,0,13,0,2,0,1,2003
"SANTO EXPEDITO DO SUL",0,0,12,0,0,0,0,0,1,0,0,0,0,2003
"SAO BORJA",14,54,1948,115,1,2,5,0,76,5,25,0,7,2003
"SAO DOMINGOS DO SUL",0,1,23,0,0,0,0,0,1,0,0,0,0,2003
"SAO FRANCISCO DE ASSIS",1,1,289,8,0,0,1,0,24,1,2,0,1,2003
"SAO FRANCISCO DE PAULA",3,12,474,37,0,5,2,0,29,0,7,0,2,2003
"SAO GABRIEL",5,24,1450,56,0,2,1,0,55,1,24,0,10,2003
"SAO JERONIMO",2,15,546,45,1,2,2,0,33,0,18,0,6,2003
"SAO JOAO DA URTIGA",1,0,29,0,0,0,0,0,3,0,0,0,0,2003
"SAO JOAO DO POLESINE",0,0,21,0,0,0,0,0,1,0,0,0,0,2003
"SAO JORGE",0,1,19,0,0,0,0,0,1,0,0,0,0,2003
"SAO JOSE DAS MISSOES",0,0,16,0,0,0,0,0,0,0,0,0,0,2003
"SAO JOSE DO HERVAL",0,0,26,3,0,0,0,0,0,0,0,0,0,2003
"SAO JOSE DO HORTENCIO",0,0,23,2,0,0,0,0,1,0,0,0,0,2003
"SAO JOSE DO INHACORA",0,1,7,0,0,0,0,0,0,0,0,0,0,2003
"SAO JOSE DO NORTE",1,1,299,19,0,0,0,0,9,0,8,0,6,2003
"SAO JOSE DO OURO",0,5,78,1,0,0,0,0,24,1,0,0,0,2003
"SAO JOSE DO SUL",0,0,17,3,0,0,0,0,0,0,0,0,0,2003
"SAO JOSE DOS AUSENTES",0,0,17,0,0,0,0,0,1,0,0,0,0,2003
"SAO LEOPOLDO",70,769,5510,2687,3,715,16,0,273,7,112,0,37,2003
"SAO LOURENCO DO SUL",1,29,1183,61,0,1,1,0,33,0,15,0,8,2003
"SAO LUIZ GONZAGA",6,33,1078,50,0,10,2,0,66,0,31,1,9,2003
"SAO MARCOS",2,18,286,20,0,8,0,0,25,0,4,0,4,2003
"SAO MARTINHO",0,3,58,4,0,0,0,0,11,1,2,0,0,2003
"SAO MARTINHO DA SERRA",0,0,37,0,0,0,0,0,0,0,0,0,0,2003
"SAO MIGUEL DAS MISSOES",1,0,106,3,0,0,1,0,2,0,1,0,0,2003
"SAO NICOLAU",2,2,136,2,0,0,0,0,1,0,0,0,0,2003
"SAO PAULO DAS MISSOES",0,1,66,5,1,0,0,0,3,0,0,0,0,2003
"SAO PEDRO DA SERRA",0,0,11,2,0,0,0,0,5,0,0,0,0,2003
"SAO PEDRO DAS MISSOES",1,0,2,0,0,0,0,0,1,0,0,0,0,2003
"SAO PEDRO DO BUTIA",0,3,11,0,0,0,0,0,0,0,0,0,0,2003
"SAO PEDRO DO SUL",1,4,315,15,0,0,0,0,18,0,0,1,1,2003
"SAO SEBASTIAO DO CAI",2,14,513,52,0,11,1,0,22,0,19,0,1,2003
"SAO SEPE",5,20,546,16,0,0,0,0,18,0,3,0,1,2003
"SAO VALENTIM",0,1,60,3,0,0,0,0,0,5,1,0,0,2003
"SAO VALENTIM DO SUL",0,1,22,0,0,0,0,0,0,0,0,0,0,2003
"SAO VALERIO DO SUL",2,0,18,1,0,0,0,0,5,0,0,0,0,2003
"SAO VENDELINO",0,2,18,10,0,2,0,0,0,0,0,0,0,2003
"SAO VICENTE DO SUL",0,2,167,1,0,0,1,0,6,0,1,0,1,2003
SAPIRANGA,9,92,1594,410,1,42,2,0,106,2,76,0,6,2003
"SAPUCAIA DO SUL",24,361,2944,1500,5,205,3,0,149,1,42,0,34,2003
SARANDI,2,10,361,34,0,2,1,0,21,0,14,0,1,2003
SEBERI,1,5,155,4,0,0,1,0,11,0,3,0,3,2003
"SEDE NOVA",0,2,25,4,0,0,0,0,2,0,0,0,0,2003
SEGREDO,0,2,46,2,0,0,0,0,1,0,0,0,0,2003
SELBACH,0,4,46,3,0,0,0,0,3,0,3,0,2,2003
"SENADOR SALGADO FILHO",0,0,29,0,0,0,0,0,0,0,0,0,0,2003
"SENTINELA DO SUL",1,3,54,5,0,2,0,0,1,0,0,0,1,2003
"SERAFINA CORREA",2,6,133,2,0,0,0,0,6,0,3,0,1,2003
SERIO,0,0,14,0,0,0,0,0,0,0,0,0,0,2003
SERTAO,0,3,90,6,0,0,0,0,7,0,2,0,0,2003
"SERTAO SANTANA",2,0,31,3,0,0,0,0,4,0,0,0,0,2003
"SETE DE SETEMBRO",0,0,13,2,0,0,0,0,1,0,0,0,0,2003
"SEVERIANO DE ALMEIDA",0,0,24,0,1,1,0,0,2,0,1,0,0,2003
"SILVEIRA MARTINS",0,0,21,0,0,0,0,0,0,0,0,0,0,2003
SINIMBU,0,3,60,7,0,0,0,0,4,0,2,0,1,2003
SOBRADINHO,2,13,302,22,0,1,0,0,34,0,4,0,7,2003
SOLEDADE,9,38,699,78,1,5,1,0,41,0,26,0,7,2003
TABAI,0,1,27,7,0,0,0,0,2,0,0,0,0,2003
TAPEJARA,1,21,266,4,0,0,0,0,15,0,2,0,0,2003
TAPERA,1,11,149,6,0,0,0,0,16,0,4,0,1,2003
TAPES,4,4,486,24,0,2,0,0,19,0,9,0,1,2003
TAQUARA,14,122,1260,264,1,41,0,0,88,2,14,0,5,2003
TAQUARI,1,29,458,46,1,2,0,0,35,0,2,0,5,2003
"TAQUARUCU DO SUL",0,2,20,0,0,0,0,0,0,0,0,0,0,2003
TAVARES,0,2,132,0,0,2,0,0,7,0,1,0,1,2003
"TENENTE PORTELA",4,5,235,7,0,0,0,0,22,0,0,0,2,2003
"TERRA DE AREIA",0,5,215,18,0,2,0,0,7,0,2,0,8,2003
TEUTONIA,2,12,216,21,0,3,0,0,20,1,3,0,0,2003
"TIO HUGO",0,3,18,4,0,2,0,0,2,0,0,0,0,2003
"TIRADENTES DO SUL",0,4,79,2,0,0,0,0,0,0,0,0,0,2003
TOROPI,0,0,14,0,0,0,0,0,0,0,1,0,0,2003
TORRES,3,62,1374,87,1,3,0,0,63,2,102,0,34,2003
TRAMANDAI,3,121,3003,304,0,12,3,0,105,1,67,0,25,2003
TRAVESSEIRO,0,0,13,0,0,0,0,0,1,0,0,0,0,2003
"TRES ARROIOS",0,0,20,2,0,0,0,0,1,0,1,0,0,2003
"TRES CACHOEIRAS",1,10,76,6,0,1,0,0,5,0,0,0,0,2003
"TRES COROAS",0,8,505,39,0,0,0,0,49,2,8,0,3,2003
"TRES DE MAIO",1,9,363,50,0,3,0,0,33,0,3,0,2,2003
"TRES FORQUILHAS",0,0,11,0,0,1,0,0,0,0,1,0,0,2003
"TRES PALMEIRAS",2,1,40,3,0,0,0,0,1,0,0,0,0,2003
"TRES PASSOS",3,12,588,24,0,0,0,0,51,2,3,0,8,2003
"TRINDADE DO SUL",0,0,65,5,0,0,0,0,8,0,1,0,0,2003
TRIUNFO,1,14,391,60,0,8,0,0,26,3,6,0,0,2003
TUCUNDUVA,0,2,54,2,0,1,0,0,6,0,1,0,0,2003
TUNAS,2,1,6,2,0,0,0,0,0,0,0,0,0,2003
"TUPANCI DO SUL",0,0,10,1,0,0,0,0,1,0,0,0,0,2003
TUPANCIRETA,3,8,495,51,1,2,0,0,18,0,4,0,3,2003
TUPANDI,0,1,9,0,0,0,0,0,2,0,0,0,0,2003
TUPARENDI,0,4,76,0,0,0,0,0,6,0,1,0,0,2003
TURUCU,0,0,26,4,0,0,0,0,1,0,0,0,0,2003
UBIRETAMA,0,1,10,0,0,0,0,0,0,0,0,0,0,2003
"UNIAO DA SERRA",0,0,7,0,0,0,0,0,0,0,0,0,0,2003
UNISTALDA,0,0,19,0,0,0,0,0,1,0,0,0,0,2003
URUGUAIANA,25,284,2849,1158,2,75,4,0,136,2,59,0,15,2003
VACARIA,7,65,1466,190,1,3,2,0,83,1,50,0,16,2003
"VALE DO SOL",0,5,93,0,0,0,0,0,4,0,0,0,0,2003
"VALE REAL",0,2,63,2,0,2,0,0,13,0,1,0,0,2003
"VALE VERDE",0,0,33,2,0,0,0,0,1,0,0,0,1,2003
VANINI,0,1,17,0,0,0,0,0,1,0,0,0,0,2003
"VENANCIO AIRES",5,84,1135,133,2,15,1,0,80,0,36,0,9,2003
"VERA CRUZ",0,22,269,17,0,1,0,0,20,0,2,0,0,2003
VERANOPOLIS,0,9,331,19,0,4,2,0,57,0,6,0,9,2003
"VESPASIANO CORREA",0,0,20,0,0,0,0,0,1,0,0,0,0,2003
VIADUTOS,0,1,44,0,0,0,0,0,3,0,0,0,0,2003
VIAMAO,38,196,3854,1642,3,88,5,0,142,2,240,1,40,2003
"VICENTE DUTRA",8,1,66,6,0,0,0,0,2,0,2,0,0,2003
"VICTOR GRAEFF",0,3,42,6,0,0,0,0,2,0,1,0,0,2003
"VILA FLORES",0,0,45,0,0,0,0,0,11,0,0,0,0,2003
"VILA LANGARO",0,1,9,0,0,0,0,0,0,0,0,0,0,2003
"VILA MARIA",0,1,45,1,0,1,0,0,2,0,0,0,0,2003
"VILA NOVA DO SUL",1,0,39,1,0,0,0,0,1,0,0,0,0,2003
"VISTA ALEGRE",1,0,12,1,0,0,0,0,1,0,0,0,0,2003
"VISTA ALEGRE DO PRATA",0,0,5,0,0,0,0,0,0,0,0,0,0,2003
"VISTA GAUCHA",0,0,8,0,0,0,0,0,0,1,0,0,0,2003
"VITORIA DAS MISSOES",0,0,27,3,0,0,0,0,0,0,0,0,0,2003
WESTFALIA,0,0,4,1,0,0,0,0,0,0,0,0,0,2003
XANGRI-LA,1,23,1239,69,1,7,1,0,18,0,47,1,5,2003
