municipio,homicidio,furtos_veiculo,furtos,roubos,latrocionio,roubo_veiculo,extorsao,extorsao_sequesto,estelionato,delitos_corrupcao,posse_entorpecente,delitos_municoes,trafico_entorpecente,ano
ACEGUA,1,0,0,0,0,0,0,0,0,0,0,0,1,2011
"AGUA SANTA",0,3,0,0,0,1,0,0,0,0,0,0,0,2011
AGUDO,0,4,0,0,0,0,0,0,0,0,0,0,0,2011
AJURICABA,0,3,0,0,0,0,0,0,0,0,2,0,0,2011
ALECRIM,1,5,0,0,0,0,0,0,0,0,1,0,3,2011
ALEGRETE,8,20,0,0,0,1,0,0,0,0,45,0,40,2011
ALEGRIA,0,1,0,0,0,0,0,0,0,0,0,0,0,2011
"ALMIRANTE TAMANDARE DO SUL",0,0,0,0,0,0,0,0,0,0,0,0,0,2011
ALPESTRE,0,0,0,0,0,0,0,0,0,0,2,0,1,2011
"ALTO ALEGRE",0,3,0,0,0,0,0,0,0,0,0,0,0,2011
"ALTO FELIZ",0,0,0,0,0,0,0,0,0,0,0,0,0,2011
ALVORADA,70,287,0,0,0,151,0,0,0,0,387,0,167,2011
"AMARAL FERRADOR",0,5,0,0,0,1,0,0,0,0,0,0,0,2011
"AMETISTA DO SUL",1,0,0,0,0,0,0,0,0,0,0,0,2,2011
"ANDRE DA ROCHA",0,0,0,0,0,0,0,0,0,0,1,0,0,2011
"ANTA GORDA",0,1,0,0,0,0,0,0,0,0,1,0,3,2011
"ANTONIO PRADO",1,1,0,0,0,0,0,0,0,0,16,0,6,2011
ARAMBARE,0,1,0,0,0,0,0,0,0,0,1,0,2,2011
ARARICA,1,1,0,0,0,3,0,0,0,0,1,0,2,2011
ARATIBA,1,4,0,0,0,0,0,0,0,0,0,0,0,2011
"ARROIO DO MEIO",1,8,0,0,0,4,0,0,0,0,10,0,3,2011
"ARROIO DO PADRE",0,1,0,0,0,0,0,0,0,0,0,0,0,2011
"ARROIO DO SAL",1,4,0,0,0,3,0,0,0,0,4,0,4,2011
"ARROIO DO TIGRE",4,6,0,0,0,1,0,0,0,0,1,0,0,2011
"ARROIO DOS RATOS",0,2,0,0,0,6,0,0,0,0,2,0,8,2011
"ARROIO GRANDE",2,3,0,0,0,0,0,0,0,0,17,0,15,2011
ARVOREZINHA,1,2,0,0,0,2,0,0,0,0,3,0,5,2011
"AUGUSTO PESTANA",0,3,0,0,0,1,0,0,0,0,2,0,0,2011
AUREA,1,0,0,0,0,0,0,0,0,0,0,0,0,2011
BAGE,6,83,0,0,0,3,0,0,0,0,97,0,51,2011
"BALNEARIO PINHAL",2,10,0,0,0,0,0,0,0,0,30,0,15,2011
BARAO,0,2,0,0,0,1,0,0,0,0,2,0,0,2011
"BARAO DE COTEGIPE",0,2,0,0,0,0,0,0,0,0,0,0,2,2011
"BARAO DO TRIUNFO",1,3,0,0,0,0,0,0,0,0,0,0,0,2011
"BARRA DO GUARITA",1,1,0,0,0,0,0,0,0,0,1,0,1,2011
"BARRA DO QUARAI",0,0,0,0,0,0,0,0,0,0,3,0,0,2011
"BARRA DO RIBEIRO",1,1,0,0,0,3,0,0,0,0,7,0,4,2011
"BARRA DO RIO AZUL",0,0,0,0,0,0,0,0,0,0,0,0,0,2011
"BARRA FUNDA",0,1,0,0,0,0,0,0,0,0,0,0,0,2011
BARRACAO,0,3,0,0,0,0,0,0,0,0,0,0,0,2011
"BARROS CASSAL",0,3,0,0,0,0,0,0,0,0,0,0,1,2011
"BENJAMIN CONSTANT DO SUL",0,2,0,0,0,0,0,0,0,0,0,0,0,2011
"BENTO GONCALVES",9,155,0,0,0,50,0,0,0,0,110,0,31,2011
"BOA VISTA DAS MISSOES",0,0,0,0,0,0,0,0,0,0,0,0,0,2011
"BOA VISTA DO BURICA",0,2,0,0,0,0,0,0,0,0,0,0,0,2011
"BOA VISTA DO CADEADO",0,0,0,0,0,0,0,0,0,0,0,0,0,2011
"BOA VISTA DO INCRA",0,1,0,0,0,0,0,0,0,0,0,0,0,2011
"BOA VISTA DO SUL",0,1,0,0,0,1,0,0,0,0,0,0,0,2011
"BOM JESUS",1,1,0,0,0,0,0,0,0,0,4,0,27,2011
"BOM PRINCIPIO",0,14,0,0,0,3,0,0,0,0,39,0,2,2011
"BOM PROGRESSO",0,0,0,0,0,0,0,0,0,0,0,0,0,2011
"BOM RETIRO DO SUL",0,2,0,0,0,0,0,0,0,0,3,0,2,2011
"BOQUEIRAO DO LEAO",0,4,0,0,0,0,0,0,0,0,0,0,0,2011
BOSSOROCA,1,2,0,0,0,1,0,0,0,0,0,0,0,2011
BOZANO,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
BRAGA,1,2,0,0,0,0,0,0,0,0,0,0,2,2011
BROCHIER,1,0,0,0,0,0,0,0,0,0,1,0,0,2011
BUTIA,2,4,0,0,0,0,0,0,0,0,10,0,8,2011
"CACAPAVA DO SUL",4,8,0,0,0,2,0,0,0,0,4,0,3,2011
CACEQUI,3,0,0,0,0,0,0,0,0,0,4,0,4,2011
"CACHOEIRA DO SUL",6,35,0,0,0,3,0,0,0,0,40,0,30,2011
CACHOEIRINHA,17,183,0,0,0,210,0,0,0,0,181,0,56,2011
"CACIQUE DOBLE",0,1,0,0,0,0,0,0,0,0,0,0,1,2011
CAIBATE,0,1,0,0,0,1,0,0,0,0,1,0,0,2011
CAICARA,1,1,0,0,0,0,0,0,0,0,0,0,0,2011
CAMAQUA,6,75,0,0,0,1,0,0,0,0,22,0,51,2011
CAMARGO,0,1,0,0,0,0,0,0,0,0,0,0,0,2011
"CAMBARA DO SUL",2,0,0,0,0,1,0,0,0,0,0,0,2,2011
