municipio,homicidio,furtos_veiculo,furtos,roubos,latrocionio,roubo_veiculo,extorsao,extorsao_sequesto,estelionato,delitos_corrupcao,posse_entorpecente,delitos_municoes,trafico_entorpecente
MARAU,2,66,505,60,0,44,2,0,43,2,22,11,11
"MARCELINO RAMOS",0,0,51,2,0,0,0,0,3,0,3,1,2
"MARIANA PIMENTEL",0,1,59,8,0,1,0,0,0,0,3,3,0
"MARIANO MORO",0,0,6,0,0,0,0,0,0,0,0,0,0
"MARQUES DE SOUZA",0,0,31,4,0,0,1,0,5,0,2,4,0
MATA,1,1,82,1,0,0,0,0,3,0,0,4,0
"MATO CASTELHANO",0,1,40,2,0,4,0,0,0,0,0,2,0
"MATO LEITAO",0,0,39,2,0,0,0,0,5,0,2,2,0
"MATO QUEIMADO",0,0,7,0,0,0,0,0,0,0,0,0,0
"MAXIMILIANO DE ALMEIDA",1,0,29,1,0,0,0,0,5,0,0,8,2
"MINAS DO LEAO",1,0,79,4,0,0,0,0,4,0,1,2,2
MIRAGUAI,3,1,83,3,0,0,0,0,2,0,1,2,3
MONTAURI,0,0,4,0,0,0,0,0,0,0,0,0,0
"MONTE ALEGRE DOS CAMPOS",0,0,12,1,0,0,0,0,0,0,0,2,0
"MONTE BELO DO SUL",0,0,32,2,0,2,0,0,0,0,1,4,0
MONTENEGRO,6,61,1183,120,0,17,2,0,100,1,106,22,71
MORMACO,0,0,21,1,0,2,0,0,4,0,0,2,0
"MORRINHOS DO SUL",0,0,9,0,0,0,0,0,0,0,0,1,2
"MORRO REDONDO",1,0,41,2,0,1,0,0,1,0,0,3,0
"MORRO REUTER",0,1,40,6,0,2,0,0,1,0,0,1,0
MOSTARDAS,0,1,285,19,0,0,0,0,15,0,16,6,12
MUCUM,0,1,57,5,0,0,0,0,1,0,1,0,0
"MUITOS CAPOES",0,0,44,1,0,2,0,0,1,0,0,4,0
MULITERNO,0,0,13,1,0,0,0,0,0,0,0,0,0
NAO-ME-TOQUE,0,11,369,31,0,5,1,0,15,0,11,5,2
"NICOLAU VERGUEIRO",0,0,17,0,1,1,0,0,2,0,1,0,0
NONOAI,3,10,243,17,1,0,1,0,4,0,2,12,3
"NOVA ALVORADA",0,3,26,3,0,0,0,0,1,0,0,3,0
"NOVA ARACA",0,3,38,0,0,3,1,0,1,0,1,0,0
"NOVA BASSANO",1,8,66,10,0,3,1,0,3,0,0,1,0
"NOVA BOA VISTA",0,1,13,0,0,0,0,0,0,0,0,0,0
"NOVA BRESCIA",1,1,18,0,0,0,0,0,0,0,0,2,0
"NOVA CANDELARIA",0,0,12,0,0,0,0,0,0,0,0,3,0
"NOVA ESPERANCA DO SUL",0,0,39,0,0,0,0,0,2,0,0,5,0
"NOVA HARTZ",2,5,151,38,0,3,2,0,26,0,7,6,6
"NOVA PADUA",0,2,7,6,0,0,0,0,0,0,0,0,0
"NOVA PALMA",2,0,84,5,0,0,0,0,9,0,1,9,0
"NOVA PETROPOLIS",0,7,143,9,1,2,4,0,16,0,7,2,2
"NOVA PRATA",1,39,284,16,0,3,1,0,51,0,14,5,9
"NOVA RAMADA",0,2,22,0,0,0,0,0,3,0,0,1,0
"NOVA ROMA DO SUL",0,1,24,3,0,0,0,0,1,0,0,0,0
"NOVA SANTA RITA",1,7,232,34,0,6,0,0,4,0,5,5,3
"NOVO BARREIRO",0,2,33,0,0,0,0,0,3,0,0,5,0
"NOVO CABRAIS",0,4,41,2,0,0,0,0,2,0,0,4,2
"NOVO HAMBURGO",37,1169,4146,1953,0,770,28,0,444,3,148,118,96
"NOVO MACHADO",0,0,11,2,0,0,0,0,1,0,0,2,0
"NOVO TIRADENTES",0,0,5,0,0,0,0,0,0,0,0,0,0
"NOVO XINGU",0,0,7,3,1,0,0,0,0,0,0,0,0
OSORIO,0,35,904,87,0,9,1,0,46,0,75,12,49
"OUTROS LOCAIS",0,0,294,0,0,0,0,0,3,0,0,0,0
"PAIM FILHO",0,0,32,0,0,0,0,0,1,0,0,2,0
"PALMARES DO SUL",1,3,490,15,0,1,0,0,7,1,8,10,5
"PALMEIRA DAS MISSOES",9,20,736,64,0,3,3,0,39,0,7,39,16
PALMITINHO,0,5,50,0,0,1,0,0,5,0,1,2,0
PANAMBI,2,18,441,23,1,1,5,0,48,3,4,14,6
"PANTANO GRANDE",3,3,149,11,0,1,0,0,5,0,3,3,3
PARAI,0,4,67,3,0,0,3,0,3,0,6,3,0
"PARAISO DO SUL",0,1,68,8,1,0,0,0,2,1,1,4,3
"PARECI NOVO",0,4,33,2,0,0,0,0,2,0,3,1,0
PAROBE,4,46,566,147,0,44,6,1,73,0,13,22,67
"PASSA SETE",0,0,42,1,0,0,0,0,1,0,0,5,0
"PASSO DO SOBRADO",1,4,77,7,0,0,0,0,2,0,0,2,0
"PASSO FUNDO",37,551,2919,1425,3,300,16,0,202,5,91,142,86
"PAULO BENTO",0,1,36,1,0,0,0,0,1,0,0,1,0
PAVERAMA,0,2,68,4,0,1,1,0,5,0,0,0,0
"PEDRAS ALTAS",0,0,73,0,0,0,0,0,0,0,0,2,2
"PEDRO OSORIO",0,4,193,8,0,1,0,0,3,0,0,2,3
PEJUCARA,0,1,31,3,0,0,0,0,0,0,0,0,0
PELOTAS,37,326,5553,2145,6,248,21,1,375,0,123,143,82
"PICADA CAFE",0,0,15,7,0,1,0,0,5,0,0,1,0
PINHAL,1,0,20,3,0,0,0,0,2,0,0,3,0
"PINHAL DA SERRA",0,0,25,0,0,0,0,0,0,0,0,2,0
"PINHAL GRANDE",0,0,50,4,0,0,0,0,15,0,0,3,0
"PINHEIRINHO DO VALE",1,2,13,0,0,0,0,0,1,0,0,0,0
"PINHEIRO MACHADO",3,4,261,25,0,0,2,0,12,0,5,7,11
PIRAPO,0,0,48,1,1,0,0,0,0,0,0,1,0
PIRATINI,0,2,236,10,0,2,0,0,10,1,1,13,2
PLANALTO,1,1,182,14,0,1,0,0,6,1,1,9,2
"POCO DAS ANTAS",0,1,6,0,0,0,0,0,0,0,0,0,0
PONTAO,1,0,51,12,0,4,0,0,1,0,0,2,0
"PONTE PRETA",0,0,19,1,0,0,0,0,0,0,0,0,0
PORTAO,7,54,467,109,0,30,0,0,26,1,34,15,38
"PORTO ALEGRE",359,4850,35880,20299,18,6077,168,2,4960,32,2646,803,2108
"PORTO LUCENA",0,1,44,2,0,0,0,0,1,0,0,3,0
"PORTO MAUA",1,0,15,0,0,0,0,0,0,0,0,1,0
"PORTO VERA CRUZ",0,0,18,1,0,0,0,0,0,0,0,1,1
"PORTO XAVIER",0,4,130,2,0,0,0,0,8,0,3,15,2
"POUSO NOVO",0,0,26,2,1,3,0,0,1,0,0,2,0
"PRESIDENTE LUCENA",0,1,10,1,0,0,0,0,0,0,4,3,0
PROGRESSO,1,4,48,3,0,2,0,0,1,0,0,8,0
"PROTASIO ALVES",0,0,20,2,0,0,0,0,1,0,0,0,0
PUTINGA,0,0,43,5,0,0,0,0,1,0,0,10,0
QUARAI,3,12,332,10,1,0,0,0,17,0,13,18,7
"QUATRO IRMAOS",0,0,28,0,0,0,0,0,0,0,0,1,0
QUEVEDOS,0,0,31,0,0,0,0,0,0,1,0,1,0
"QUINZE DE NOVEMBRO",0,0,28,0,0,0,0,0,5,0,0,3,0
REDENTORA,2,6,99,9,0,0,0,0,3,0,0,7,0
RELVADO,0,1,9,5,0,1,0,0,1,0,0,0,0
"RESTINGA SECA",1,4,236,10,0,0,2,0,11,0,4,9,3
"RIO DOS INDIOS",0,0,37,0,0,0,0,0,0,0,0,6,0
"RIO GRANDE",18,189,4354,1204,0,27,52,0,205,1,127,106,174
"RIO PARDO",4,18,792,64,0,1,0,0,46,0,15,17,14
RIOZINHO,0,2,34,3,0,0,0,0,1,0,3,1,2
"ROCA SALES",1,2,117,5,0,0,0,0,3,0,10,1,5
