municipio,homicidio,furtos_veiculo,furtos,roubos,latrocionio,roubo_veiculo,extorsao,extorsao_sequesto,estelionato,delitos_corrupcao,posse_entorpecente,delitos_municoes,trafico_entorpecente
"SANTA ROSA",7,45,1177,80,2,8,0,0,104,1,33,0,7
"SANTA TEREZA",0,0,18,0,0,0,0,0,1,0,0,0,0
"SANTA VITORIA DO PALMAR",2,29,1000,94,0,0,0,0,20,1,9,0,1
"SANTANA DA BOA VISTA",0,0,54,0,0,0,0,0,0,1,0,0,0
"SANTANA DO LIVRAMENTO",5,336,2244,195,1,5,0,0,103,1,21,1,2
SANTIAGO,4,27,897,82,0,0,0,0,82,0,14,0,8
"SANTO ANGELO",10,76,2733,361,0,16,3,0,160,4,47,0,5
"SANTO ANTONIO DA PATRULHA",0,19,595,47,0,7,0,0,21,1,10,0,5
"SANTO ANTONIO DAS MISSOES",1,6,312,25,0,0,0,0,12,0,6,0,2
"SANTO ANTONIO DO PALMA",0,1,7,0,0,0,0,0,0,0,0,0,0
"SANTO ANTONIO DO PLANALTO",0,0,11,2,0,0,0,0,0,0,0,0,0
"SANTO AUGUSTO",0,9,213,8,0,1,1,0,33,0,2,0,1
"SANTO CRISTO",1,5,76,4,0,0,1,0,13,0,2,0,1
"SANTO EXPEDITO DO SUL",0,0,12,0,0,0,0,0,1,0,0,0,0
"SAO BORJA",14,54,1948,115,1,2,5,0,76,5,25,0,7
"SAO DOMINGOS DO SUL",0,1,23,0,0,0,0,0,1,0,0,0,0
"SAO FRANCISCO DE ASSIS",1,1,289,8,0,0,1,0,24,1,2,0,1
"SAO FRANCISCO DE PAULA",3,12,474,37,0,5,2,0,29,0,7,0,2
"SAO GABRIEL",5,24,1450,56,0,2,1,0,55,1,24,0,10
"SAO JERONIMO",2,15,546,45,1,2,2,0,33,0,18,0,6
"SAO JOAO DA URTIGA",1,0,29,0,0,0,0,0,3,0,0,0,0
"SAO JOAO DO POLESINE",0,0,21,0,0,0,0,0,1,0,0,0,0
"SAO JORGE",0,1,19,0,0,0,0,0,1,0,0,0,0
"SAO JOSE DAS MISSOES",0,0,16,0,0,0,0,0,0,0,0,0,0
"SAO JOSE DO HERVAL",0,0,26,3,0,0,0,0,0,0,0,0,0
"SAO JOSE DO HORTENCIO",0,0,23,2,0,0,0,0,1,0,0,0,0
"SAO JOSE DO INHACORA",0,1,7,0,0,0,0,0,0,0,0,0,0
"SAO JOSE DO NORTE",1,1,299,19,0,0,0,0,9,0,8,0,6
"SAO JOSE DO OURO",0,5,78,1,0,0,0,0,24,1,0,0,0
"SAO JOSE DO SUL",0,0,17,3,0,0,0,0,0,0,0,0,0
"SAO JOSE DOS AUSENTES",0,0,17,0,0,0,0,0,1,0,0,0,0
"SAO LEOPOLDO",70,769,5510,2687,3,715,16,0,273,7,112,0,37
"SAO LOURENCO DO SUL",1,29,1183,61,0,1,1,0,33,0,15,0,8
"SAO LUIZ GONZAGA",6,33,1078,50,0,10,2,0,66,0,31,1,9
"SAO MARCOS",2,18,286,20,0,8,0,0,25,0,4,0,4
"SAO MARTINHO",0,3,58,4,0,0,0,0,11,1,2,0,0
"SAO MARTINHO DA SERRA",0,0,37,0,0,0,0,0,0,0,0,0,0
"SAO MIGUEL DAS MISSOES",1,0,106,3,0,0,1,0,2,0,1,0,0
"SAO NICOLAU",2,2,136,2,0,0,0,0,1,0,0,0,0
"SAO PAULO DAS MISSOES",0,1,66,5,1,0,0,0,3,0,0,0,0
"SAO PEDRO DA SERRA",0,0,11,2,0,0,0,0,5,0,0,0,0
"SAO PEDRO DAS MISSOES",1,0,2,0,0,0,0,0,1,0,0,0,0
"SAO PEDRO DO BUTIA",0,3,11,0,0,0,0,0,0,0,0,0,0
"SAO PEDRO DO SUL",1,4,315,15,0,0,0,0,18,0,0,1,1
"SAO SEBASTIAO DO CAI",2,14,513,52,0,11,1,0,22,0,19,0,1
"SAO SEPE",5,20,546,16,0,0,0,0,18,0,3,0,1
"SAO VALENTIM",0,1,60,3,0,0,0,0,0,5,1,0,0
"SAO VALENTIM DO SUL",0,1,22,0,0,0,0,0,0,0,0,0,0
"SAO VALERIO DO SUL",2,0,18,1,0,0,0,0,5,0,0,0,0
"SAO VENDELINO",0,2,18,10,0,2,0,0,0,0,0,0,0
"SAO VICENTE DO SUL",0,2,167,1,0,0,1,0,6,0,1,0,1
SAPIRANGA,9,92,1594,410,1,42,2,0,106,2,76,0,6
"SAPUCAIA DO SUL",24,361,2944,1500,5,205,3,0,149,1,42,0,34
SARANDI,2,10,361,34,0,2,1,0,21,0,14,0,1
SEBERI,1,5,155,4,0,0,1,0,11,0,3,0,3
"SEDE NOVA",0,2,25,4,0,0,0,0,2,0,0,0,0
SEGREDO,0,2,46,2,0,0,0,0,1,0,0,0,0
SELBACH,0,4,46,3,0,0,0,0,3,0,3,0,2
"SENADOR SALGADO FILHO",0,0,29,0,0,0,0,0,0,0,0,0,0
"SENTINELA DO SUL",1,3,54,5,0,2,0,0,1,0,0,0,1
"SERAFINA CORREA",2,6,133,2,0,0,0,0,6,0,3,0,1
SERIO,0,0,14,0,0,0,0,0,0,0,0,0,0
SERTAO,0,3,90,6,0,0,0,0,7,0,2,0,0
"SERTAO SANTANA",2,0,31,3,0,0,0,0,4,0,0,0,0
"SETE DE SETEMBRO",0,0,13,2,0,0,0,0,1,0,0,0,0
"SEVERIANO DE ALMEIDA",0,0,24,0,1,1,0,0,2,0,1,0,0
"SILVEIRA MARTINS",0,0,21,0,0,0,0,0,0,0,0,0,0
SINIMBU,0,3,60,7,0,0,0,0,4,0,2,0,1
SOBRADINHO,2,13,302,22,0,1,0,0,34,0,4,0,7
SOLEDADE,9,38,699,78,1,5,1,0,41,0,26,0,7
TABAI,0,1,27,7,0,0,0,0,2,0,0,0,0
TAPEJARA,1,21,266,4,0,0,0,0,15,0,2,0,0
TAPERA,1,11,149,6,0,0,0,0,16,0,4,0,1
TAPES,4,4,486,24,0,2,0,0,19,0,9,0,1
TAQUARA,14,122,1260,264,1,41,0,0,88,2,14,0,5
TAQUARI,1,29,458,46,1,2,0,0,35,0,2,0,5
"TAQUARUCU DO SUL",0,2,20,0,0,0,0,0,0,0,0,0,0
TAVARES,0,2,132,0,0,2,0,0,7,0,1,0,1
"TENENTE PORTELA",4,5,235,7,0,0,0,0,22,0,0,0,2
"TERRA DE AREIA",0,5,215,18,0,2,0,0,7,0,2,0,8
TEUTONIA,2,12,216,21,0,3,0,0,20,1,3,0,0
"TIO HUGO",0,3,18,4,0,2,0,0,2,0,0,0,0
"TIRADENTES DO SUL",0,4,79,2,0,0,0,0,0,0,0,0,0
TOROPI,0,0,14,0,0,0,0,0,0,0,1,0,0
TORRES,3,62,1374,87,1,3,0,0,63,2,102,0,34
TRAMANDAI,3,121,3003,304,0,12,3,0,105,1,67,0,25
TRAVESSEIRO,0,0,13,0,0,0,0,0,1,0,0,0,0
"TRES ARROIOS",0,0,20,2,0,0,0,0,1,0,1,0,0
"TRES CACHOEIRAS",1,10,76,6,0,1,0,0,5,0,0,0,0
"TRES COROAS",0,8,505,39,0,0,0,0,49,2,8,0,3
"TRES DE MAIO",1,9,363,50,0,3,0,0,33,0,3,0,2
"TRES FORQUILHAS",0,0,11,0,0,1,0,0,0,0,1,0,0
"TRES PALMEIRAS",2,1,40,3,0,0,0,0,1,0,0,0,0
"TRES PASSOS",3,12,588,24,0,0,0,0,51,2,3,0,8
"TRINDADE DO SUL",0,0,65,5,0,0,0,0,8,0,1,0,0
TRIUNFO,1,14,391,60,0,8,0,0,26,3,6,0,0
TUCUNDUVA,0,2,54,2,0,1,0,0,6,0,1,0,0
TUNAS,2,1,6,2,0,0,0,0,0,0,0,0,0
"TUPANCI DO SUL",0,0,10,1,0,0,0,0,1,0,0,0,0
TUPANCIRETA,3,8,495,51,1,2,0,0,18,0,4,0,3
TUPANDI,0,1,9,0,0,0,0,0,2,0,0,0,0
TUPARENDI,0,4,76,0,0,0,0,0,6,0,1,0,0
TURUCU,0,0,26,4,0,0,0,0,1,0,0,0,0
UBIRETAMA,0,1,10,0,0,0,0,0,0,0,0,0,0
"UNIAO DA SERRA",0,0,7,0,0,0,0,0,0,0,0,0,0
UNISTALDA,0,0,19,0,0,0,0,0,1,0,0,0,0
URUGUAIANA,25,284,2849,1158,2,75,4,0,136,2,59,0,15
VACARIA,7,65,1466,190,1,3,2,0,83,1,50,0,16
"VALE DO SOL",0,5,93,0,0,0,0,0,4,0,0,0,0
"VALE REAL",0,2,63,2,0,2,0,0,13,0,1,0,0
"VALE VERDE",0,0,33,2,0,0,0,0,1,0,0,0,1
VANINI,0,1,17,0,0,0,0,0,1,0,0,0,0
"VENANCIO AIRES",5,84,1135,133,2,15,1,0,80,0,36,0,9
"VERA CRUZ",0,22,269,17,0,1,0,0,20,0,2,0,0
VERANOPOLIS,0,9,331,19,0,4,2,0,57,0,6,0,9
"VESPASIANO CORREA",0,0,20,0,0,0,0,0,1,0,0,0,0
VIADUTOS,0,1,44,0,0,0,0,0,3,0,0,0,0
VIAMAO,38,196,3854,1642,3,88,5,0,142,2,240,1,40
"VICENTE DUTRA",8,1,66,6,0,0,0,0,2,0,2,0,0
"VICTOR GRAEFF",0,3,42,6,0,0,0,0,2,0,1,0,0
"VILA FLORES",0,0,45,0,0,0,0,0,11,0,0,0,0
"VILA LANGARO",0,1,9,0,0,0,0,0,0,0,0,0,0
"VILA MARIA",0,1,45,1,0,1,0,0,2,0,0,0,0
"VILA NOVA DO SUL",1,0,39,1,0,0,0,0,1,0,0,0,0
"VISTA ALEGRE",1,0,12,1,0,0,0,0,1,0,0,0,0
"VISTA ALEGRE DO PRATA",0,0,5,0,0,0,0,0,0,0,0,0,0
"VISTA GAUCHA",0,0,8,0,0,0,0,0,0,1,0,0,0
"VITORIA DAS MISSOES",0,0,27,3,0,0,0,0,0,0,0,0,0
WESTFALIA,0,0,4,1,0,0,0,0,0,0,0,0,0
XANGRI-LA,1,23,1239,69,1,7,1,0,18,0,47,1,5
