municipio,homicidio,furtos_veiculo,furtos,roubos,latrocionio,roubo_veiculo,extorsao,extorsao_sequesto,estelionato,delitos_corrupcao,posse_entorpecente,delitos_municoes,trafico_entorpecente
"CAPAO DO CIPO",0,0,4,0,0,0,0,0,1,0,0,0,0
"CAPAO DO LEAO",2,3,438,92,0,1,2,0,14,0,4,0,0
"CAPELA DE SANTANA",4,1,133,11,0,1,0,0,4,0,7,0,2
CAPITAO,0,1,23,0,0,0,0,0,1,0,0,0,0
"CAPIVARI DO SUL",0,2,58,1,0,0,0,0,0,0,1,0,2
CARAA,0,0,16,1,0,0,0,0,1,0,0,0,0
CARAZINHO,5,56,1430,133,2,13,2,0,154,2,45,0,11
"CARLOS BARBOSA",1,25,298,20,0,2,1,0,29,0,5,0,0
"CARLOS GOMES",0,1,7,0,0,0,0,0,1,0,0,0,0
CASCA,1,15,80,8,0,0,1,0,7,0,3,0,0
CASEIROS,0,3,32,3,0,0,0,0,5,0,0,0,0
CATUIPE,2,11,112,2,0,0,0,0,21,0,4,0,0
"CAXIAS DO SUL",47,985,8468,1778,3,444,30,0,710,2,173,0,58
CENTENARIO,0,0,14,0,0,0,0,0,0,0,0,0,0
CERRITO,0,2,78,6,0,0,0,0,1,0,5,0,2
"CERRO BRANCO",2,0,34,2,0,0,0,0,3,0,0,0,0
"CERRO GRANDE",0,1,18,2,0,0,0,0,2,0,0,0,0
"CERRO GRANDE DO SUL",0,7,69,13,0,1,1,0,1,0,0,0,0
"CERRO LARGO",1,14,164,9,0,1,0,0,9,1,7,0,1
CHAPADA,1,7,99,2,0,0,1,0,6,0,1,0,0
CHARQUEADAS,2,11,598,33,0,1,0,0,28,1,56,0,44
CHARRUA,0,0,8,0,0,0,0,0,0,0,0,0,0
CHIAPETTA,0,2,56,1,0,0,0,0,3,0,1,0,0
CHUI,0,9,209,8,0,0,0,0,10,0,6,0,0
CHUVISCA,0,1,36,1,0,0,0,0,0,0,0,0,0
CIDREIRA,5,21,1670,85,0,4,0,0,26,0,22,0,3
CIRIACO,1,5,111,1,0,0,0,0,4,0,0,0,0
COLINAS,0,0,20,0,0,0,0,0,0,0,0,0,0
COLORADO,0,0,23,1,0,0,0,0,1,0,0,0,0
CONDOR,0,1,96,8,0,1,0,0,9,0,2,0,0
CONSTANTINA,0,4,122,11,0,0,0,0,2,0,7,0,2
"COQUEIRO BAIXO",0,0,10,1,0,0,0,0,0,0,0,0,0
"COQUEIROS DO SUL",0,1,15,0,0,0,0,0,1,1,0,0,0
